iter	RMSE
0	0.8517018769
1	0.7848922922
2	0.7250239378
3	0.6743190519
4	0.6284657553
5	0.5887454347
6	0.55434705
7	0.5247429406
8	0.4971769448
9	0.4734467994
10	0.4532113425
11	0.4354235785
12	0.4200599109
13	0.4072165454
14	0.3958037128
15	0.3867227033
16	0.3781974821
17	0.3706610818
18	0.3644104403
19	0.35948995
20	0.3550030912
21	0.3508836213
22	0.3476787008
23	0.3447099423
24	0.342143809
25	0.339926795
26	0.3378981363
27	0.3357542366
28	0.3341954354
29	0.3313086258
30	0.329208436
31	0.3275613406
32	0.3255862994
33	0.324537829
34	0.3233226489
35	0.3220291468
36	0.3210896941
37	0.3197221787
38	0.3187208363
39	0.3182158258
40	0.317319214
41	0.3164705809
42	0.3159620058
43	0.3151338165
44	0.3143305354
45	0.3135267086
46	0.3128139451
47	0.3124476418
48	0.3119313472
49	0.311758322
50	0.3110874952
51	0.310763547
52	0.3100819638
53	0.3097351941
54	0.3093564697
55	0.3090877391
56	0.3086977309
57	0.3083303433
58	0.3080899379
59	0.3077945186
60	0.3076616632
61	0.3075329394
62	0.3072609549
63	0.307187035
64	0.3069454893
65	0.306578433
66	0.3065357416
67	0.3062411748
68	0.3062136053
69	0.3061495479
70	0.3056245332
71	0.3052888968
72	0.3052217791
73	0.3050007039
74	0.3044412275
75	0.3041945381
76	0.3038626561
77	0.303122855
78	0.3025081706
79	0.302381414
80	0.3023241699
81	0.3021591664
82	0.3020180216
83	0.3014043849
84	0.3010852996
85	0.300774389
86	0.300738679
87	0.3006037276
88	0.3005784516
89	0.3004870021
90	0.3004632988
91	0.3004058723
92	0.3001638757
93	0.3000179644
94	0.2999092675
95	0.2996348539
96	0.2996298056
97	0.2995595644
98	0.2995297516
99	0.2994041781
100	0.2992539938
101	0.2990873618
102	0.2989158796
103	0.2987080499
104	0.2984164327
105	0.2983807786
106	0.298066906
107	0.2978833241
108	0.2975093335
109	0.2974467283
110	0.2972360957
111	0.2972072422
112	0.2971545995
113	0.2967560085
114	0.2964715227
115	0.2960860876
116	0.2957359601
117	0.2955891231
118	0.2954796297
119	0.2954094288
120	0.2952104411
121	0.2951290847
122	0.2951233679
123	0.2951009724
124	0.2950815351
125	0.294767041
126	0.2947051076
127	0.294555687
128	0.2943310621
129	0.2937467334
130	0.2936651144
131	0.2935548288
132	0.2932884351
133	0.2929816185
134	0.2929473733
135	0.2926638348
136	0.2925653604
137	0.2922840634
138	0.2921180351
139	0.2921065037
140	0.2919569587
141	0.2918490584
142	0.2917551737
143	0.2915685386
144	0.2915511589
145	0.2914257017
146	0.2912545323
147	0.2911977608
148	0.2911337801
149	0.2911309618
150	0.2910221337
151	0.2909384394
