iter	Passed	Remaining
0	14	8816
1	24	7408
2	33	6599
3	39	5817
4	46	5500
5	50	5046
6	56	4818
7	62	4616
8	69	4569
9	75	4468
10	82	4441
11	89	4387
12	97	4382
13	102	4285
14	108	4220
15	116	4251
16	122	4188
17	129	4196
18	136	4164
19	140	4087
20	146	4039
21	153	4029
22	158	3986
23	165	3962
24	171	3938
25	178	3933
26	183	3886
27	190	3884
28	196	3872
29	202	3850
30	207	3814
31	217	3853
32	222	3831
33	230	3839
34	236	3809
35	241	3782
36	248	3778
37	254	3759
38	260	3746
39	268	3757
40	275	3750
41	279	3717
42	285	3693
43	290	3675
44	297	3664
45	301	3634
46	308	3623
47	315	3630
48	324	3652
49	331	3643
50	336	3624
51	342	3608
52	349	3604
53	356	3607
54	364	3613
55	371	3605
56	377	3596
57	383	3584
58	391	3589
59	397	3579
60	404	3574
61	410	3562
62	417	3560
63	423	3548
64	432	3563
65	439	3555
66	444	3539
67	452	3540
68	456	3516
69	464	3514
70	468	3493
71	476	3494
72	483	3491
73	490	3483
74	495	3469
75	500	3450
76	506	3438
77	512	3430
78	517	3409
79	522	3395
80	529	3391
81	534	3377
82	541	3372
83	547	3364
84	554	3359
85	560	3352
86	569	3356
87	577	3357
88	580	3333
89	585	3319
90	593	3319
91	600	3314
92	606	3308
93	612	3299
94	618	3285
95	630	3312
96	636	3302
97	654	3352
98	658	3334
99	664	3324
100	671	3316
101	675	3300
102	684	3303
103	691	3296
104	696	3282
105	702	3274
106	708	3263
107	713	3250
108	717	3230
109	721	3215
110	726	3199
111	732	3189
112	738	3181
113	745	3179
114	751	3169
115	757	3161
116	762	3146
117	769	3142
118	775	3133
119	781	3124
120	786	3114
121	794	3112
122	800	3106
123	806	3096
124	812	3087
125	818	3080
126	825	3074
127	833	3074
128	838	3062
129	844	3054
130	851	3049
131	859	3048
132	867	3045
133	874	3040
134	881	3037
135	887	3026
136	894	3021
137	899	3010
138	905	3002
139	912	2999
140	917	2988
141	923	2978
142	928	2965
143	935	2961
144	940	2951
145	947	2945
146	955	2943
147	960	2932
148	966	2926
149	973	2920
150	979	2913
151	988	2912
152	994	2905
153	999	2895
154	1007	2893
155	1012	2880
156	1017	2870
157	1022	2861
158	1030	2858
159	1035	2848
160	1044	2847
161	1050	2841
162	1056	2831
163	1063	2827
164	1069	2818
165	1075	2812
166	1080	2800
167	1085	2791
168	1092	2785
169	1098	2778
170	1103	2769
171	1110	2763
172	1116	2754
173	1120	2743
174	1124	2731
175	1130	2724
176	1134	2712
177	1140	2704
178	1147	2698
179	1152	2688
180	1158	2682
181	1164	2674
182	1170	2667
183	1176	2660
184	1180	2648
185	1185	2638
186	1189	2627
187	1195	2619
188	1203	2616
189	1210	2611
190	1228	2630
191	1244	2644
192	1252	2640
193	1258	2634
194	1268	2634
195	1273	2624
196	1280	2618
197	1286	2612
198	1293	2605
199	1298	2597
200	1305	2591
201	1312	2585
202	1319	2580
203	1326	2574
204	1334	2571
205	1341	2566
206	1346	2557
207	1353	2551
208	1358	2542
209	1364	2534
210	1372	2529
211	1377	2521
212	1385	2517
213	1390	2508
214	1396	2499
215	1401	2492
216	1409	2486
217	1416	2482
218	1423	2477
219	1431	2471
220	1436	2463
221	1442	2455
222	1450	2452
223	1457	2445
224	1463	2439
225	1469	2431
226	1479	2431
227	1487	2426
228	1493	2419
229	1498	2410
230	1506	2406
231	1513	2400
232	1519	2393
233	1525	2385
234	1531	2379
235	1537	2371
236	1542	2363
237	1547	2353
238	1554	2348
239	1561	2341
240	1566	2333
241	1572	2326
242	1578	2318
243	1585	2312
244	1590	2304
245	1594	2294
